"QuestionID","Total_Records","Null_Records_DataValue","Null_Records_DataValueAlt"
"NPAW10_0",1850,164,164
"NPAW11_1",980,72,72
"NPAW11_2",980,119,119
"NPAW11_3",980,82,82
"NPAW11_4",55,10,10
"NPAW12_1",55,15,15
"NPAW12_2",55,13,13
"NPAW13_1",55,11,11
"NPAW13_2",55,11,11
"NPAW13_3",55,11,11
"NPAW13_4",55,11,11
"NPAW14_0",54,3,54
"NPAW15_0",55,3,3
"NPAW16_0",55,3,3
"NPAW17_0",55,3,3
"NPAW18_0",55,3,3
"NPAW19_0",54,3,54
"NPAW1_1",1850,142,142
"NPAW1_2",55,9,9
"NPAW20_0",55,11,11
"NPAW21_0",55,11,11
"NPAW22_0",54,3,54
"NPAW2_1",1850,124,124
"NPAW2_2",55,9,9
"NPAW2_3",705,212,212
"NPAW3_1",1850,138,138
"NPAW3_2",50,4,4
"NPAW4_1",55,14,14
"NPAW4_2",922,68,68
"NPAW5_1",55,20,20
"NPAW5_2",922,66,66
"NPAW6_0",55,3,3
"NPAW7_1",55,17,17
"NPAW7_2",55,3,3
"NPAW8_0",55,3,3
"NPAW9_1",54,3,54
"NPAW9_2",54,3,54
"TOTAL",14364,1400,1655
